"","dyad",".id","edge","edge_sd","nAssociations","A","B","sexA","sexB","dyadicSex","dSex","absAgeA","absAgeB","ageDiff","resA","resB","dyadicResidency","dRes","likely.k","pk1","pk2","pk3","ageDiff_scaled","wang","wang.low","wang.high"
"104","1329_76",2,0.0121480987196124,0.0209987409365295,0,"1329","76","FemaleJ","Male","FemaleJ_Male","F-M",36,44,8,"Resident","Resident","Resident_Resident","R-R",1,0.674104674104674,0.314899314899315,0.010996010996011,0.223905825731093,0.1229,-0.1566,0.3879
"105","1329_804",2,0.00956474533089044,0.0152520006674595,0,"1329","804","FemaleJ","Male","FemaleJ_Male","F-M",36,39,3,"Resident","Resident","Resident_Resident","R-R",1,0.721939,0.274174,0.003887,-0.527031629876773,-0.0345,-0.4424,0.3448
"106","1329_824",2,0.0104558592566365,0.0176386023704382,0,"1329","824","FemaleJ","Male","FemaleJ_Male","F-M",36,39,3,"Resident","Resident","Resident_Resident","R-R",1,0.702409,0.291509,0.006082,-0.527031629876773,0.1052,-0.2106,0.3664
"107","1329_92",2,0.0127473464157085,0.0252934073126245,0,"1329","92","FemaleJ","Male","FemaleJ_Male","F-M",36,43,7,"Resident","Resident","Resident_Resident","R-R",1,0.688615,0.303201,0.008184,0.0737183346095196,-0.0664,-0.4066,0.2776
"108","1329_961",3,0.0101908419499057,0.0172355940418109,0,"1329","961","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",36,36,0,"Resident","Resident","Resident_Resident","R-R",1,0.545806,0.448481,0.005713,-0.824899830975751,0.1531,-0.3092,0.5322
"109","1336_162",3,0.00767629866823439,0.010978465962062,0,"1336","162","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",39,44,5,"Resident","Resident","Resident_Resident","R-R",1,0.644919,0.354762,0.000319,-0.127273574483882,-0.1721,-0.547,0.1852
"110","1336_1739",2,0.00695309695026275,0.00973517905962327,0,"1336","1739","FemaleJ","Male","FemaleJ_Male","F-M",39,32,7,"Resident","Resident","Resident_Resident","R-R",1,0.808396,0.191259,0.000345,0.0737183346095196,0.1119,-0.1664,0.4237
"111","1336_1966",2,0.0111858768726092,0.0193547254323879,0,"1336","1966","FemaleJ","Male","FemaleJ_Male","F-M",39,31,8,"Resident","Transient","Resident_Transient","R-T",1,0.695596,0.297348,0.007056,0.223905825731093,0.2655,0.0412,0.5368
"112","1336_1978",3,0.0112582542238828,0.0202915040603603,0,"1336","1978","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",39,31,8,"Resident","Transient","Resident_Transient","R-T",1,0.522031,0.467462,0.010507,0.29130217941124,0.3049,0.0375,0.5409
"113","1336_2232",2,0.0139446681916007,0.0309929732411101,0,"1336","2232","FemaleJ","Male","FemaleJ_Male","F-M",39,30,9,"Resident","Transient","Resident_Transient","R-T",1,0.658764,0.326486,0.01475,0.374093316852666,-0.2782,-0.6889,0.0674
"114","1336_2233",2,0.0132585781432039,0.0261402260741579,0,"1336","2233","FemaleJ","Male","FemaleJ_Male","F-M",39,30,9,"Resident","Transient","Resident_Transient","R-T",1,0.666546,0.320715,0.012739,0.374093316852666,-0.0539,-0.4054,0.3728
"115","1336_251",3,0.00687302187502037,0.00947856697176247,0,"1336","251","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",39,43,4,"Resident","Resident","Resident_Resident","R-R",1,0.68956368956369,0.31036231036231,7.4000074000074e-05,-0.266798825782256,0.0199,-0.2834,0.3238
"116","1336_413",2,0.00717834223254757,0.00977422810290626,0,"1336","413","FemaleJ","Male","FemaleJ_Male","F-M",39,43,4,"Resident","Resident","Resident_Resident","R-R",1,0.79898,0.200551,0.000469,-0.3768441387552,0.2608,-0.0611,0.6359
"117","1336_45",2,0.00450413238678306,0.00544877273470825,0,"1336","45","FemaleJ","Male","FemaleJ_Male","F-M",39,44,5,"Resident","Resident","Resident_Resident","R-R",1,0.937804062195938,0.0621949378050622,9.99999000001e-07,-0.226656647633627,0.1047,-0.3343,0.4697
"118","1336_4513",3,0.00691397010482691,0.00896384195137744,0,"1336","4513","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",39,24,15,"Resident","Resident","Resident_Resident","R-R",1,0.664443,0.335386,0.000171,1.26797893849986,0.1686,-0.087,0.4675
"119","1336_480",2,0.00736534804880138,0.0104210727362795,0,"1336","480","FemaleJ","Male","FemaleJ_Male","F-M",39,43,4,"Resident","Resident","Resident_Resident","R-R",1,0.803733803733804,0.195864195864196,0.000402000402000402,-0.3768441387552,0.109,-0.2437,0.3773
"120","1336_5001",2,0.0104819682073886,0.0174787990324102,0,"1336","5001","FemaleJ","Male","FemaleJ_Male","F-M",39,22,17,"Resident","Resident","Resident_Resident","R-R",1,0.695596,0.297348,0.007056,1.57559324582525,0.2919,0.0229,0.579
"121","1336_5009",3,0.00770023094998946,0.0110808305071682,0,"1336","5009","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",39,23,16,"Resident","Resident","Resident_Resident","R-R",1,0.61801,0.381259,0.000731,1.40750418979823,0.4326,0.2161,0.6366
"122","1336_5019",2,0.0108513163794497,0.0194806882464448,0,"1336","5019","FemaleJ","Male","FemaleJ_Male","F-M",39,23,16,"Resident","Resident","Resident_Resident","R-R",1,0.715572,0.279914,0.004514,1.42540575470368,0.0552,-0.259,0.3447
"123","1336_5029",3,0.00704712360511917,0.010156231766986,0,"1336","5029","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",39,23,16,"Resident","Resident","Resident_Resident","R-R",1,0.664443,0.335386,0.000171,1.40750418979823,0.2687,0.0531,0.583
"124","1336_5061",2,0.00801700481673005,0.0114638916546671,0,"1336","5061","FemaleJ","Male","FemaleJ_Male","F-M",39,22,17,"Resident","Resident","Resident_Resident","R-R",1,0.768480231519769,0.23035376964623,0.00116599883400117,1.57559324582525,0.0061,-0.3105,0.3316
"125","1336_5112",3,0.101198371941905,0.0801330079262978,2,"1336","5112","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",39,23,16,"Resident","Resident","Resident_Resident","R-R",2,0.000288,0.537228,0.462484,1.40750418979823,-0.0772,-0.5442,0.1876
"126","1336_54",3,0.00514820880697,0.00658386613331865,0,"1336","54","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",39,44,5,"Resident","Resident","Resident_Resident","R-R",1,0.823980176019824,0.176018823981176,9.99999000001e-07,-0.127273574483882,0.0567,-0.4096,0.3281
"127","1336_6105",2,0.00715554182925752,0.010565898210469,0,"1336","6105","FemaleJ","Male","FemaleJ_Male","F-M",39,18,21,"Resident","Resident","Resident_Resident","R-R",1,0.808396,0.191259,0.000345,2.17634321031154,0.0497,-0.2472,0.4249
"128","1336_6118",3,0.0114862231062285,0.0201213382925051,0,"1336","6118","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",39,18,21,"Resident","Transient","Resident_Transient","R-T",1,0.513733,0.473409,0.012858,2.1051304462901,-0.0165,-0.3502,0.2809
"129","1336_6133",2,0.0107950530479846,0.0188009199632548,0,"1336","6133","FemaleJ","Male","FemaleJ_Male","F-M",39,18,21,"Resident","Resident","Resident_Resident","R-R",1,0.688615,0.303201,0.008184,2.17634321031154,0.1897,-0.2347,0.4752
"130","1336_619",3,0.0102045128074046,0.0169640223282344,0,"1336","619","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",39,40,1,"Resident","Resident","Resident_Resident","R-R",1,0.545806,0.448481,0.005713,-0.685374579677377,0.0919,-0.3685,0.3172
"131","1336_6203",3,0.0088198134373906,0.01408747204149,0,"1336","6203","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",39,17,22,"Resident","Resident","Resident_Resident","R-R",1,0.582922,0.415026,0.002052,2.24465569758847,-0.1814,-0.5004,0.1629
"132","1336_6224",3,0.0106842761838458,0.019100478627377,0,"1336","6224","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",39,17,22,"Resident","Resident","Resident_Resident","R-R",1,0.545806,0.448481,0.005713,2.24465569758847,-0.0914,-0.4051,0.2894
"133","1336_677",3,0.00928101766178137,0.0140139330803156,0,"1336","677","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",39,37,2,"Resident","Resident","Resident_Resident","R-R",1,0.575687,0.421793,0.00252,-0.545849328379004,-0.0629,-0.3544,0.2406
"134","1336_76",2,0.00760824955753866,0.0112991561145608,0,"1336","76","FemaleJ","Male","FemaleJ_Male","F-M",39,44,5,"Resident","Resident","Resident_Resident","R-R",1,0.794135,0.205319,0.000546,-0.226656647633627,0.0772,-0.2981,0.455
"135","1336_804",2,0.00656039334133516,0.00920858138580014,0,"1336","804","FemaleJ","Male","FemaleJ_Male","F-M",39,39,0,"Resident","Resident","Resident_Resident","R-R",1,0.838585,0.161297,0.000118,-0.977594103241492,0.0636,-0.1652,0.3609
"136","1336_824",2,0.00682937800276307,0.00958638211116845,0,"1336","824","FemaleJ","Male","FemaleJ_Male","F-M",39,39,0,"Resident","Resident","Resident_Resident","R-R",1,0.817453,0.182293,0.000254,-0.977594103241492,0.3417,0.1662,0.4835
"137","1336_92",2,0.00648546997226118,0.00895032580526341,0,"1336","92","FemaleJ","Male","FemaleJ_Male","F-M",39,43,4,"Resident","Resident","Resident_Resident","R-R",1,0.834527,0.165335,0.000138,-0.3768441387552,0.0905,-0.2503,0.4756
"138","1336_961",3,0.0075480330068446,0.0113925172092447,0,"1336","961","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",39,36,3,"Resident","Resident","Resident_Resident","R-R",1,0.657998,0.341791,0.000211,-0.40632407708063,-0.1714,-0.4998,0.216
"139","1336_9907",2,0.0105972544135085,0.0178774090409669,0,"1336","9907","FemaleJ","Male","FemaleJ_Male","F-M",39,37,2,"Resident","Transient","Resident_Transient","R-T",1,0.709065,0.285695,0.00524,-0.677219120998346,-0.2367,-0.6001,0.1071
"140","162_1739",2,0.0200879870371557,0.020297423534067,1,"162","1739","FemaleJ","Male","FemaleJ_Male","F-M",44,32,12,"Resident","Resident","Resident_Resident","R-R",2,0.296153,0.70032,0.003527,0.824655790217385,-0.0281,-0.4456,0.3238
"141","162_1966",2,0.0108054426431893,0.0179591317992872,0,"162","1966","FemaleJ","Male","FemaleJ_Male","F-M",44,31,13,"Resident","Transient","Resident_Transient","R-T",1,0.695596,0.297348,0.007056,0.974843281338958,-0.204,-0.5749,0.1625
"142","162_1978",3,0.0106886823196874,0.0183652026335145,0,"162","1978","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",44,31,13,"Resident","Transient","Resident_Transient","R-T",1,0.522031,0.467462,0.010507,0.98892843590311,0.0833,-0.2298,0.3359
"143","162_2232",2,0.0132971006952,0.0268335456222468,0,"162","2232","FemaleJ","Male","FemaleJ_Male","F-M",44,30,14,"Resident","Transient","Resident_Transient","R-T",1,0.658764,0.326486,0.01475,1.12503077246053,-0.0509,-0.57,0.2441
"144","162_2233",2,0.0126114567948036,0.022839365329981,0,"162","2233","FemaleJ","Male","FemaleJ_Male","F-M",44,30,14,"Resident","Transient","Resident_Transient","R-T",1,0.666546,0.320715,0.012739,1.12503077246053,0.0084,-0.4243,0.3173
"145","162_251",3,0.00620671171440132,0.00838813335290969,0,"162","251","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",44,43,1,"Resident","Resident","Resident_Resident","R-R",1,0.730841,0.269142,1.7e-05,-0.685374579677377,-0.1456,-0.6649,0.3001
"146","162_413",2,0.00721928381183931,0.010756435474198,0,"162","413","FemaleJ","Male","FemaleJ_Male","F-M",44,43,1,"Resident","Resident","Resident_Resident","R-R",1,0.812968,0.186735,0.000297,-0.827406612119919,-0.2533,-0.6771,0.1773
"147","162_45",2,0.00403943904875778,0.00464802578187482,0,"162","45","FemaleJ","Male","FemaleJ_Male","F-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.963569036430964,0.0364299635700364,9.99999000001e-07,-0.977594103241492,-0.1527,-0.5356,0.2666
"148","162_4513",3,0.0185600171370821,0.0175910814112982,1,"162","4513","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",44,24,20,"Resident","Resident","Resident_Resident","R-R",2,0.051025,0.948252,0.000723,1.96560519499173,-0.2941,-0.712,0.0669
"149","162_480",2,0.00651575313526494,0.00906617309173106,0,"162","480","FemaleJ","Male","FemaleJ_Male","F-M",44,43,1,"Resident","Resident","Resident_Resident","R-R",1,0.830386,0.169453,0.000161,-0.827406612119919,-0.1256,-0.5686,0.1984
"150","162_5001",2,0.0103684977485157,0.0189401289899666,0,"162","5001","FemaleJ","Male","FemaleJ_Male","F-M",44,22,22,"Resident","Resident","Resident_Resident","R-R",1,0.709065,0.285695,0.00524,2.32653070143312,-0.0543,-0.3289,0.2719
"151","162_5009",3,0.00769864643800289,0.0110264616329314,0,"162","5009","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",44,23,21,"Resident","Resident","Resident_Resident","R-R",1,0.631589,0.367928,0.000483,2.1051304462901,-0.251,-0.5758,-0.0442
"152","162_5019",2,0.00908977202466171,0.0136003181412985,0,"162","5019","FemaleJ","Male","FemaleJ_Male","F-M",44,23,21,"Resident","Resident","Resident_Resident","R-R",1,0.728172,0.268482,0.003346,2.17634321031154,-0.28,-0.7279,0.1333
"153","162_5029",3,0.00717607655444231,0.0102355451160127,0,"162","5029","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",44,23,21,"Resident","Resident","Resident_Resident","R-R",1,0.677136,0.322751,0.000113,2.1051304462901,0.003,-0.3493,0.4217
"154","162_5061",2,0.0077978922244024,0.0113007503938612,0,"162","5061","FemaleJ","Male","FemaleJ_Male","F-M",44,22,22,"Resident","Resident","Resident_Resident","R-R",1,0.779035,0.220104,0.000861,2.32653070143312,-0.1067,-0.3665,0.1451
"155","162_5112",3,0.00944810685253529,0.0156474010773492,0,"162","5112","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",44,23,21,"Resident","Resident","Resident_Resident","R-R",1,0.575687,0.421793,0.00252,2.1051304462901,-0.1749,-0.4687,0.1585
"156","162_54",3,0.00485242612101312,0.00621090867044966,0,"162","54","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.858333141666858,0.141665858334142,9.99999000001e-07,-0.824899830975751,-0.1727,-0.5796,0.1655
"157","162_6105",2,0.0207252541288954,0.0198478501536321,1,"162","6105","FemaleJ","Male","FemaleJ_Male","F-M",44,18,26,"Resident","Resident","Resident_Resident","R-R",2,0.277523,0.717162,0.005315,2.92728066591941,-0.3538,-0.8306,-0.0063
"158","162_6118",3,0.0121591492404306,0.0230317129901397,0,"162","6118","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",44,18,26,"Resident","Transient","Resident_Transient","R-T",1,0.513733,0.473409,0.012858,2.80275670278197,-0.3554,-0.8362,0.0054
"159","162_6133",2,0.0108765256964952,0.0180083604703578,0,"162","6133","FemaleJ","Male","FemaleJ_Male","F-M",44,18,26,"Resident","Resident","Resident_Resident","R-R",1,0.688615,0.303201,0.008184,2.92728066591941,-0.1401,-0.5882,0.1945
"160","162_619",3,0.010348590759806,0.0176605982378657,0,"162","619","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",44,40,4,"Resident","Resident","Resident_Resident","R-R",1,0.553439,0.441903,0.004658,-0.266798825782256,-0.7105,-1.1269,-0.3056
"161","162_6203",3,0.00785709351071606,0.0118987725335635,0,"162","6203","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",44,17,27,"Resident","Resident","Resident_Resident","R-R",1,0.61801,0.381259,0.000731,2.94228195408034,-0.3825,-0.9223,-0.0013
"162","162_6224",3,0.0103666403348778,0.0180834949466241,0,"162","6224","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",44,17,27,"Resident","Resident","Resident_Resident","R-R",1,0.545806,0.448481,0.005713,2.94228195408034,0.4346,0.2847,0.5461
"163","162_677",3,0.00943829282646184,0.0158497812736947,0,"162","677","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",44,37,7,"Resident","Resident","Resident_Resident","R-R",1,0.575687,0.421793,0.00252,0.151776928112866,-0.1689,-0.6181,0.211
"164","162_76",2,0.0201260442809475,0.0206130097502231,1,"162","76","FemaleJ","Male","FemaleJ_Male","F-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",2,0.296153,0.70032,0.003527,-0.977594103241492,0.1007,-0.2077,0.3895
"165","162_804",2,0.00656694878992102,0.00938369881316789,0,"162","804","FemaleJ","Male","FemaleJ_Male","F-M",44,39,5,"Resident","Resident","Resident_Resident","R-R",1,0.834527,0.165335,0.000138,-0.226656647633627,-0.1475,-0.6017,0.3505
"166","162_824",2,0.00684808199023764,0.00991990443590617,0,"162","824","FemaleJ","Male","FemaleJ_Male","F-M",44,39,5,"Resident","Resident","Resident_Resident","R-R",1,0.812968,0.186735,0.000297,-0.226656647633627,-0.3395,-0.6548,0.0578
"167","162_92",2,0.00642128667216331,0.00851927346245723,0,"162","92","FemaleJ","Male","FemaleJ_Male","F-M",44,43,1,"Resident","Resident","Resident_Resident","R-R",1,0.842560842560843,0.157338157338157,0.000101000101000101,-0.827406612119919,-0.1048,-0.4112,0.2341
"168","162_961",3,0.00656188130604699,0.00887536974097087,0,"162","961","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",44,36,8,"Resident","Resident","Resident_Resident","R-R",1,0.701715,0.298236,4.9e-05,0.29130217941124,-0.2824,-0.5918,0.121
"169","162_9907",2,0.00983441612574151,0.0157325656237413,0,"162","9907","FemaleJ","Male","FemaleJ_Male","F-M",44,37,7,"Resident","Transient","Resident_Transient","R-T",1,0.709065,0.285695,0.00524,0.0737183346095196,-0.1531,-0.5048,0.1554
"170","1739_1966",1,0.0114960232998044,0.0206695194337478,0,"1739","1966","Male","Male","Male_Male","M-M",32,31,1,"Resident","Transient","Resident_Transient","R-T",1,0.54031454031454,0.419424419424419,0.0402610402610403,-0.906780571853278,0.2466,0.0092,0.557
"171","1739_1978",2,0.0110348841111878,0.0195692502995597,0,"1739","1978","Male","FemaleJ","FemaleJ_Male","F-M",32,31,1,"Resident","Transient","Resident_Transient","R-T",1,0.688615,0.303201,0.008184,-0.827406612119919,0.1368,-0.2495,0.3718
"172","1739_2232",1,0.0136325203564908,0.0269061597504936,0,"1739","2232","Male","Male","Male_Male","M-M",32,30,2,"Resident","Transient","Resident_Transient","R-T",1,0.487705,0.435572,0.076723,-0.758349888572181,-0.0629,-0.4267,0.2198
"173","1739_2233",1,0.0133462046302308,0.0256267069563642,0,"1739","2233","Male","Male","Male_Male","M-M",32,30,2,"Resident","Transient","Resident_Transient","R-T",1,0.499031,0.433362,0.067607,-0.758349888572181,0.1014,-0.2016,0.4615
"174","1739_251",2,0.00937401455055123,0.014756412734086,0,"1739","251","Male","FemaleJ","FemaleJ_Male","F-M",32,43,11,"Resident","Resident","Resident_Resident","R-R",1,0.728172,0.268482,0.003346,0.674468299095812,-0.0835,-0.4171,0.1963
"175","1739_45",1,0.00554173475833044,0.0073574927872774,0,"1739","45","Male","Male","Male_Male","M-M",32,44,12,"Resident","Resident","Resident_Resident","R-R",1,0.784116,0.215652,0.000232,0.725956944238787,0.0485,-0.3167,0.4939
"176","1739_4513",2,0.0054933022809956,0.00719279189984937,0,"1739","4513","Male","FemaleJ","FemaleJ_Male","F-M",32,24,8,"Resident","Resident","Resident_Resident","R-R",1,0.892987,0.107003,1e-05,0.223905825731093,0.1397,-0.1907,0.5688
"177","1739_480",1,0.0073319231961798,0.0103337872137527,0,"1739","480","Male","Male","Male_Male","M-M",32,43,11,"Resident","Resident","Resident_Resident","R-R",1,0.66559,0.329871,0.004539,0.577526260957691,0.1459,-0.1835,0.4619
"178","1739_5001",1,0.0229707208250822,0.0229986759276228,1,"1739","5001","Male","Male","Male_Male","M-M",32,22,10,"Resident","Resident","Resident_Resident","R-R",2,0.221843778156222,0.738231261768738,0.0399249600750399,0.429095577676594,0.183,-0.1066,0.4307
"179","1739_5009",2,0.0202444890989727,0.0198575655780662,1,"1739","5009","Male","FemaleJ","FemaleJ_Male","F-M",32,23,9,"Resident","Resident","Resident_Resident","R-R",2,0.283673283673284,0.711689711689712,0.00463700463700464,0.374093316852666,0.226,-0.0165,0.541
"180","1739_5019",1,0.00690888756138456,0.00993684678358642,0,"1739","5019","Male","Male","Male_Male","M-M",32,23,9,"Resident","Resident","Resident_Resident","R-R",1,0.703415,0.294628,0.001957,0.280664894395497,0.1783,-0.18,0.4824
"181","1739_5029",2,0.00573122910720303,0.00775142216621887,0,"1739","5029","Male","FemaleJ","FemaleJ_Male","F-M",32,23,9,"Resident","Resident","Resident_Resident","R-R",1,0.878002,0.121976,2.2e-05,0.374093316852666,0.2848,-0.086,0.5617
"182","1739_5061",1,0.0362420244163524,0.0269419438220651,2,"1739","5061","Male","Male","Male_Male","M-M",32,22,10,"Resident","Resident","Resident_Resident","R-R",2,0.051029,0.885833,0.063138,0.429095577676594,0.1003,-0.2829,0.425
"183","1739_5112",2,0.00687201332953716,0.00987826102167372,0,"1739","5112","Male","FemaleJ","FemaleJ_Male","F-M",32,23,9,"Resident","Resident","Resident_Resident","R-R",1,0.82185,0.177932,0.000218,0.374093316852666,-0.1005,-0.4449,0.2459
"184","1739_54",2,0.0327950704085018,0.0249964473953659,2,"1739","54","Male","FemaleJ","FemaleJ_Male","F-M",32,44,12,"Resident","Resident","Resident_Resident","R-R",2,0.045097,0.946958,0.007945,0.824655790217385,0.1017,-0.2119,0.3963
"185","1739_6105",1,0.0676165143929766,0.0349554037667645,4,"1739","6105","Male","Male","Male_Male","M-M",32,18,14,"Resident","Resident","Resident_Resident","R-R",2,0.000851,0.595627,0.403522,1.02281831080098,0.4655,0.3245,0.6081
"186","1739_6118",2,0.0095967263424513,0.0164658430118437,0,"1739","6118","Male","FemaleJ","FemaleJ_Male","F-M",32,18,14,"Resident","Transient","Resident_Transient","R-T",1,0.715572,0.279914,0.004514,1.12503077246053,-0.0231,-0.4783,0.316
"187","1739_6133",1,0.0351900808736662,0.0390468857705201,1,"1739","6133","Male","Male","Male_Male","M-M",32,18,14,"Resident","Resident","Resident_Resident","R-R",2,0.141895,0.679897,0.178208,1.02281831080098,0.2832,-0.0414,0.5035
"188","1739_6203",2,0.00773061540800458,0.0118907175366366,0,"1739","6203","Male","FemaleJ","FemaleJ_Male","F-M",32,17,15,"Resident","Resident","Resident_Resident","R-R",1,0.784164,0.215096,0.00074,1.2752182635821,-0.0779,-0.4743,0.2354
"189","1739_6224",2,0.00975787111811344,0.016743123355628,0,"1739","6224","Male","FemaleJ","FemaleJ_Male","F-M",32,17,15,"Resident","Resident","Resident_Resident","R-R",1,0.721939,0.274174,0.003887,1.2752182635821,0.1407,-0.1606,0.4739
"190","1739_677",2,0.0123241214490868,0.021609613519812,0,"1739","677","Male","FemaleJ","FemaleJ_Male","F-M",32,37,5,"Resident","Resident","Resident_Resident","R-R",1,0.681456,0.309056,0.009488,-0.226656647633627,0.1892,-0.118,0.4519
"191","1739_76",1,0.0273527357619318,0.0285762216711106,1,"1739","76","Male","Male","Male_Male","M-M",32,44,12,"Resident","Resident","Resident_Resident","R-R",2,0.185919,0.732056,0.082025,0.725956944238787,0.1354,-0.2666,0.4637
"192","1739_804",1,0.0143248474610063,0.0286788299043103,0,"1739","804","Male","Male","Male_Male","M-M",32,39,7,"Resident","Resident","Resident_Resident","R-R",1,0.487705,0.435572,0.076723,-0.0161964721666967,0.1121,-0.2119,0.3743
"193","1739_824",1,0.0104269944335419,0.0167855904756269,0,"1739","824","Male","Male","Male_Male","M-M",32,39,7,"Resident","Resident","Resident_Resident","R-R",1,0.558915,0.410198,0.030887,-0.0161964721666967,-0.0054,-0.3048,0.2875
"194","1739_92",1,0.00586705955707318,0.00762813122148089,0,"1739","92","Male","Male","Male_Male","M-M",32,43,11,"Resident","Resident","Resident_Resident","R-R",1,0.764403,0.235186,0.000411,0.577526260957691,0.3504,0.0024,0.6732
"195","1739_961",2,0.0335351117226034,0.0255279811145382,2,"1739","961","Male","FemaleJ","FemaleJ_Male","F-M",32,36,4,"Resident","Resident","Resident_Resident","R-R",2,0.0437929562070438,0.947168052831947,0.00903899096100904,-0.3768441387552,-0.1031,-0.4114,0.1682
"196","1966_1978",2,0.184414366648886,0.113182970302359,3,"1966","1978","Male","FemaleJ","FemaleJ_Male","F-M",31,31,0,"Transient","Transient","Transient_Transient","T-T",3,0.000426,0.266967,0.732607,-0.977594103241492,0.0438,-0.2954,0.3943
"197","1966_251",2,0.0791255502833893,0.0637391026329104,2,"1966","251","Male","FemaleJ","FemaleJ_Male","F-M",31,43,12,"Transient","Resident","Resident_Transient","R-T",2,0.0156460156460156,0.752089752089752,0.232264232264232,0.824655790217385,-0.0647,-0.449,0.2765
"198","1966_45",1,0.0100499689724235,0.0164510142321212,0,"1966","45","Male","Male","Male_Male","M-M",31,44,13,"Transient","Resident","Resident_Transient","R-T",1,0.56779,0.405188,0.027022,0.874387627519884,0.5017,0.2159,0.7585
"199","1966_480",1,0.0113580568022277,0.0193288468784841,0,"1966","480","Male","Male","Male_Male","M-M",31,43,12,"Transient","Resident","Resident_Transient","R-T",1,0.54031454031454,0.419424419424419,0.0402610402610403,0.725956944238787,0.2619,-0.0417,0.5399
"200","1966_54",2,0.0113632897630773,0.021261560581164,0,"1966","54","Male","FemaleJ","FemaleJ_Male","F-M",31,44,13,"Transient","Resident","Resident_Transient","R-T",1,0.695596,0.297348,0.007056,0.974843281338958,0.2367,0.0014,0.4558
"201","1966_677",2,0.0104366089360623,0.018225193059976,0,"1966","677","Male","FemaleJ","FemaleJ_Male","F-M",31,37,6,"Transient","Resident","Resident_Transient","R-T",1,0.709065,0.285695,0.00524,-0.0764691565120535,0.2406,-0.0628,0.4324
"202","1966_76",1,0.0104961808029237,0.0172994188780893,0,"1966","76","Male","Male","Male_Male","M-M",31,44,13,"Transient","Resident","Resident_Transient","R-T",1,0.558915,0.410198,0.030887,0.874387627519884,0.2814,0.0717,0.5225
"203","1966_804",1,0.0107787629148202,0.0185806199502388,0,"1966","804","Male","Male","Male_Male","M-M",31,39,8,"Transient","Resident","Resident_Transient","R-T",1,0.54976345023655,0.414957585042415,0.0352789647210353,0.1322342111144,-0.1175,-0.3929,0.1933
"204","1966_824",1,0.010862445285233,0.0177722911158646,0,"1966","824","Male","Male","Male_Male","M-M",31,39,8,"Transient","Resident","Resident_Transient","R-T",1,0.54031454031454,0.419424419424419,0.0402610402610403,0.1322342111144,0.0157,-0.4,0.3853
"205","1966_92",1,0.0108522944527945,0.0200106049788003,0,"1966","92","Male","Male","Male_Male","M-M",31,43,12,"Transient","Resident","Resident_Transient","R-T",1,0.54976345023655,0.414957585042415,0.0352789647210353,0.725956944238787,-0.0677,-0.3608,0.3256
"206","1966_961",2,0.0111203950806272,0.0195691757133972,0,"1966","961","Male","FemaleJ","FemaleJ_Male","F-M",31,36,5,"Transient","Resident","Resident_Transient","R-T",1,0.695596,0.297348,0.007056,-0.226656647633627,0.3006,-0.0373,0.5894
"207","1978_251",3,0.0341165581988218,0.0373725078420732,1,"1978","251","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",31,43,12,"Transient","Resident","Resident_Transient","R-T",2,0.026575,0.927859,0.045566,0.849403184604736,0.029,-0.3044,0.3214
"208","1978_45",2,0.0101084243208486,0.0181448417500098,0,"1978","45","FemaleJ","Male","FemaleJ_Male","F-M",31,44,13,"Transient","Resident","Resident_Transient","R-T",1,0.709065,0.285695,0.00524,0.974843281338958,0.0255,-0.3977,0.3398
