"","dyad","edge","edge_sd","nAssociations","A","B","sexA","sexB","dyadicSex","dSex","absAgeA","absAgeB","ageDiff","resA","resB","dyadicResidency","dRes","likely.k","pk1","pk2","pk3","ageDiff_scaled"
"22","1019_1346",0.0150094567237838,0.0333768803829908,0,"1019","1346","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Transient","Resident_Transient","R-T",2,0.487238,0.48931,0.023452,-0.685374579677377
"23","1019_1357",0.0133538497928509,0.0274096345498322,0,"1019","1357","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Transient","Resident_Transient","R-T",1,0.505197,0.479079,0.015724,-0.685374579677377
"24","1019_1358",0.00729590801468428,0.0105131203129292,0,"1019","1358","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Resident","Resident_Resident","R-R",1,0.664443,0.335386,0.000171,-0.685374579677377
"25","1019_1364",0.00743826888827896,0.0107532722604214,0,"1019","1364","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Resident","Resident_Resident","R-R",1,0.664443,0.335386,0.000171,-0.685374579677377
"26","1019_1370",0.0143741323429404,0.0298247872860507,0,"1019","1370","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Transient","Resident_Transient","R-T",2,0.487238,0.48931,0.023452,-0.685374579677377
"27","1019_1404",0.144214841034587,0.0778151083320539,4,"1019","1404","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,35,2,"Resident","Transient","Resident_Transient","R-T",3,9.99999000001e-07,0.102429897570102,0.897569102430898,-0.545849328379004
"28","1019_1414",0.007556247327463,0.0107049789521797,0,"1019","1414","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,35,2,"Resident","Transient","Resident_Transient","R-T",1,0.631589,0.367928,0.000483,-0.545849328379004
"29","1019_1422",0.00749617101615723,0.0108699203539426,0,"1019","1422","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,35,2,"Resident","Transient","Resident_Transient","R-T",1,0.631589,0.367928,0.000483,-0.545849328379004
"30","1019_1452",0.00801295500065579,0.0123352154595239,0,"1019","1452","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,35,2,"Resident","Transient","Resident_Transient","R-T",1,0.62483,0.374575,0.000595,-0.545849328379004
"31","1019_1469",0.00654233130317946,0.0091207424867769,0,"1019","1469","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,35,2,"Resident","Resident","Resident_Resident","R-R",1,0.707685292314708,0.292274707725292,3.999996000004e-05,-0.545849328379004
"32","1019_1470",0.018246186377337,0.0178684254163489,1,"1019","1470","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,35,2,"Resident","Resident","Resident_Resident","R-R",2,0.051025,0.948252,0.000723,-0.545849328379004
"33","1019_1512",0.00765295507761427,0.0107766178993132,0,"1019","1512","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,35,2,"Resident","Resident","Resident_Resident","R-R",1,0.638285,0.361322,0.000393,-0.545849328379004
"34","1019_159",0.0101218604564034,0.0169208433995396,0,"1019","159","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,44,7,"Resident","Resident","Resident_Resident","R-R",1,0.545806,0.448481,0.005713,0.151776928112866
"35","1019_162",0.00730736673074285,0.0103893733307899,0,"1019","162","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,44,7,"Resident","Resident","Resident_Resident","R-R",1,0.651490651490651,0.348250348250348,0.000259000259000259,0.151776928112866
"36","1019_1623",0.0122733996810804,0.0225499440932884,0,"1019","1623","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,34,3,"Resident","Transient","Resident_Transient","R-T",1,0.505197,0.479079,0.015724,-0.40632407708063
"37","1019_1630",0.0104968608452541,0.0187942805949417,0,"1019","1630","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,34,3,"Resident","Transient","Resident_Transient","R-T",1,0.545806,0.448481,0.005713,-0.40632407708063
"38","1019_1631",0.0119656657103634,0.0200449766884872,0,"1019","1631","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,34,3,"Resident","Transient","Resident_Transient","R-T",1,0.505197,0.479079,0.015724,-0.40632407708063
"39","1019_1634",0.00987457730349598,0.0170730972172712,0,"1019","1634","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,34,3,"Resident","Transient","Resident_Transient","R-T",1,0.568367568367568,0.428539428539429,0.00309300309300309,-0.40632407708063
"40","1019_1645",0.0466815298016638,0.0537828913786871,1,"1019","1645","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,34,3,"Resident","Transient","Resident_Transient","R-T",2,0.020489,0.849597,0.129914,-0.40632407708063
"41","1019_1667",0.0124229889821747,0.0216273342856127,0,"1019","1667","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,34,3,"Resident","Transient","Resident_Transient","R-T",1,0.505197,0.479079,0.015724,-0.40632407708063
"42","1019_17",0.00699869277439411,0.00967718792296332,0,"1019","17","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,44,7,"Resident","Resident","Resident_Resident","R-R",1,0.664443,0.335386,0.000171,0.151776928112866
